prediction,ID,Gender,MaritalStatus,Education,CommuteDistance,PerformanceRating,PercentSalaryHike,MonthlyIncome,StockOptionLevel,CompanyProfit,Department,BusinessTravel,YearsWithCurrentManager,YearsSinceLastPromotion,JobSatisfaction,EnvironmentSatisfaction,TrainingHoursLastYear,TotalWorkingYears,YearsInCurrentRole,YearsAtCompany,NumbersCompaniesWorked,WorkLifeBal,JobLevel
Yes,14936,Male,Single,Post-Graduate,4,5,7,87524,3,1,Sales,3,3,1,1,3,3,19,7,10,2,3,VP
Yes,14937,Female,Divorced,Post-Graduate,3,5,14,55171,2,1,Consultancy,3,1,3,5,4,4,13,4,6,3,4,Senior Developer
Yes,14938,Male,Married,Graduate,1,5,12,62636,2,-2,Testing,3,1,1,1,5,4,11,5,6,2,2,Senior Developer
Yes,14939,Male,Married,Post-Graduate,2,3,6,80678,3,-1,Consultancy,3,7,2,4,5,2,18,8,11,3,2,Product Owner
Yes,14940,Female,Married,Graduate,2,5,9,57704,2,-2,Testing,3,6,2,4,1,3,19,5,8,1,1,Product Manager
Yes,14941,Male,Married,Graduate,2,5,8,56370,2,1,Product Management,3,4,5,1,2,4,18,5,9,3,3,Product Manager
Yes,14942,Female,Married,Graduate,4,4,14,63012,2,1,Product Management,2,2,3,1,1,4,11,5,7,3,4,Senior Developer
Yes,14943,Male,Married,Graduate,4,4,6,86028,3,0,Sales,3,4,1,3,4,3,18,10,12,3,5,VP
Yes,14944,Female,Married,Post-Graduate,4,4,18,54577,2,1,People Management,2,0,1,4,5,2,9,3,5,1,5,Senior Developer
Yes,14945,Male,Married,Doctorate,2,5,9,58050,2,-2,People Management,2,2,0,2,4,1,11,5,9,1,5,Product Manager
Yes,14946,Male,Married,Doctorate,4,3,10,57821,2,0,Training,3,5,1,3,1,2,15,5,10,4,3,Product Manager
Yes,14947,Female,Divorced,Post-Graduate,2,5,15,59546,2,1,HR,3,2,0,4,1,4,8,3,5,1,1,Senior Developer
Yes,14948,Male,Married,Doctorate,1,3,16,57178,2,-1,Public Relations,3,1,0,3,3,1,18,5,6,4,3,Senior Developer
Yes,14949,Male,Married,Graduate,1,4,7,90128,2,0,Consultancy,3,9,6,4,5,4,17,6,11,3,1,VP
Yes,14950,Male,Married,Doctorate,3,4,9,49476,2,0,Product Management,2,5,5,5,1,1,9,6,8,1,4,Product Manager
Yes,14951,Male,Single,Doctorate,3,4,8,82099,2,-2,HR,3,7,0,2,4,4,19,6,14,3,1,VP
Yes,14952,Female,Married,Post-Graduate,1,3,8,80689,2,-2,People Management,3,4,1,1,5,4,20,10,13,2,5,VP
Yes,14953,Male,Married,Post-Graduate,1,3,9,76956,2,0,Development,3,9,5,2,3,4,17,5,14,2,3,VP
Yes,14954,Male,Married,Graduate,3,5,17,55715,2,-1,Development,3,3,1,4,5,4,16,5,7,1,2,Senior Developer
Yes,14955,Female,Married,Post-Graduate,2,3,10,49150,2,0,Public Relations,2,6,0,2,2,1,19,5,10,1,2,Product Manager
Yes,14956,Male,Single,Post-Graduate,3,3,12,52649,2,1,Testing,3,2,2,2,1,4,11,3,5,3,2,Senior Developer
Yes,14957,Male,Married,Post-Graduate,4,5,15,59302,2,0,Sales,3,2,2,1,2,1,17,3,8,2,1,Senior Developer
Yes,14958,Male,Divorced,Graduate,2,4,6,84060,3,1,Public Relations,3,5,1,4,3,1,18,3,10,4,5,VP
Yes,14959,Female,Married,Graduate,2,4,18,49831,2,-1,Consultancy,2,3,2,4,2,2,9,3,6,4,4,Senior Developer
Yes,14960,Female,Single,Doctorate,3,5,8,79934,3,0,Training,3,4,3,1,3,4,13,8,10,4,4,Product Owner
Yes,14961,Female,Divorced,Post-Graduate,4,3,8,60076,2,1,Development,2,6,0,4,2,1,9,7,8,3,2,Product Manager
Yes,14962,Female,Married,Graduate,3,3,9,53349,2,-2,DevOps,3,6,1,3,4,4,10,3,9,4,1,Product Manager
Yes,14963,Male,Married,Graduate,1,3,14,57256,2,1,HR,3,2,3,2,4,1,8,5,5,4,2,Senior Developer
Yes,14964,Female,Married,Post-Graduate,4,4,8,48833,2,0,Consultancy,3,7,1,1,1,1,20,3,9,2,5,Product Manager
Yes,14965,Female,Married,Graduate,4,5,9,63804,2,-2,People Management,2,7,4,2,2,2,19,6,8,2,5,Product Manager
Yes,14966,Female,Single,Graduate,2,3,7,79157,2,1,HR,3,7,3,4,4,2,19,3,13,4,1,VP
Yes,14967,Female,Divorced,Post-Graduate,3,3,7,83890,2,-2,Testing,3,4,4,5,2,4,20,7,9,3,2,Product Owner
Yes,14968,Female,Married,Graduate,2,5,6,85433,3,-2,Sales,3,7,0,3,2,4,20,4,11,3,5,VP
Yes,14969,Male,Married,Graduate,1,4,6,75717,2,1,Public Relations,3,8,6,1,4,2,16,8,13,2,4,VP
Yes,14970,Female,Married,Post-Graduate,3,5,9,93087,3,1,Testing,3,7,1,2,1,4,8,6,8,1,5,Product Owner
Yes,14971,Female,Married,Graduate,4,3,8,48314,2,-2,Training,2,7,1,3,5,2,14,4,8,2,5,Product Manager
Yes,14972,Female,Married,Post-Graduate,1,4,9,78110,2,1,Sales,3,2,1,2,5,1,15,5,9,4,4,Product Owner
Yes,14973,Male,Married,Post-Graduate,3,4,11,50427,2,-2,Product Management,3,7,2,2,1,1,14,5,9,2,2,Product Manager
Yes,14974,Male,Married,Graduate,4,3,9,49227,2,-2,Product Management,3,2,5,5,1,2,14,3,9,2,4,Product Manager
Yes,14975,Male,Single,Graduate,4,4,15,47405,2,-2,Development,2,2,1,3,4,2,14,4,5,1,3,Senior Developer
Yes,14976,Male,Married,Post-Graduate,2,4,9,83879,3,-1,HR,3,6,4,4,1,1,16,10,11,4,3,VP
Yes,14977,Male,Single,Graduate,1,3,9,89053,2,-2,HR,3,8,3,3,5,1,19,7,14,3,4,VP
Yes,14978,Male,Married,Graduate,4,4,8,76210,2,-1,Consultancy,3,6,5,4,1,3,15,8,9,2,3,Product Owner
Yes,14979,Female,Married,Graduate,2,4,9,91971,3,1,Testing,3,4,6,5,2,1,15,5,14,3,2,VP
Yes,14980,Male,Divorced,Doctorate,3,4,18,53095,2,-2,Sales,2,2,0,2,5,1,19,5,5,2,1,Senior Developer
Yes,14981,Female,Married,Post-Graduate,1,3,12,45398,2,1,Product Management,2,2,2,3,2,2,17,5,7,2,2,Senior Developer
Yes,14982,Male,Married,Post-Graduate,4,4,7,91975,2,0,DevOps,3,6,3,4,5,4,20,6,10,2,1,Product Owner
Yes,14983,Male,Married,Post-Graduate,1,3,7,86627,3,-2,Testing,3,5,2,3,3,4,18,6,13,4,4,VP
Yes,14984,Male,Divorced,Graduate,4,4,16,53361,2,0,Training,3,3,2,4,3,2,11,4,7,3,1,Senior Developer
Yes,14985,Male,Married,Doctorate,4,4,6,91475,3,0,Testing,3,6,4,1,3,1,16,8,9,4,5,Product Owner
Yes,14986,Male,Married,Post-Graduate,4,3,11,58552,2,0,HR,3,5,1,3,5,1,17,3,8,1,5,Product Manager
Yes,14987,Male,Married,Graduate,4,4,16,50189,2,1,Consultancy,3,2,1,4,3,4,18,4,8,3,2,Senior Developer
Yes,14988,Male,Married,Post-Graduate,3,5,8,55497,2,1,Product Management,2,4,2,3,3,4,15,3,8,4,4,Product Manager
Yes,14989,Male,Divorced,Graduate,2,4,9,79654,3,-1,Product Management,3,6,5,2,2,3,18,4,9,3,4,Product Owner
Yes,14990,Female,Married,Post-Graduate,3,4,7,85015,3,-2,Training,3,7,2,4,1,2,9,6,9,1,4,Product Owner
Yes,14991,Male,Married,Graduate,4,5,12,58629,2,-2,DevOps,3,0,2,1,1,2,17,4,6,1,4,Senior Developer
Yes,14992,Male,Divorced,Graduate,2,4,8,81666,3,-1,Development,3,3,2,3,1,2,19,3,12,4,4,VP
Yes,14993,Female,Married,Post-Graduate,1,5,12,51883,2,-1,People Management,3,2,3,3,3,4,10,6,9,4,4,Product Manager
Yes,14994,Male,Married,Post-Graduate,3,3,8,76397,3,-2,Sales,3,4,4,2,5,1,12,4,10,2,2,Product Owner
Yes,14995,Female,Married,Graduate,4,3,8,63946,2,1,Product Management,2,5,3,4,2,3,17,5,10,2,5,Product Manager
Yes,14996,Female,Married,Graduate,2,4,15,52239,2,-2,DevOps,3,2,3,2,3,2,16,5,7,1,3,Senior Developer
Yes,14997,Male,Married,Post-Graduate,2,4,13,50637,2,0,HR,2,0,0,2,4,2,20,5,7,4,4,Senior Developer
Yes,14998,Male,Single,Post-Graduate,2,4,17,64783,2,0,Public Relations,2,3,0,2,4,1,10,3,6,1,2,Senior Developer
Yes,14999,Male,Married,Graduate,2,4,11,45512,2,-2,HR,3,4,1,4,2,4,18,7,9,3,1,Product Manager
Yes,15000,Male,Married,Graduate,4,3,15,57755,2,-1,DevOps,2,1,2,4,5,2,16,4,5,3,4,Senior Developer
Yes,15001,Male,Married,Graduate,4,3,8,76634,2,-1,Sales,3,2,4,4,1,1,17,5,9,4,1,Product Owner
Yes,15002,Male,Married,Graduate,2,4,8,86751,2,0,HR,3,2,3,2,5,1,17,8,9,4,4,Product Owner
Yes,15003,Female,Married,Doctorate,1,3,8,85136,3,-1,Development,3,7,1,3,3,2,18,5,14,4,2,VP
Yes,15004,Male,Married,Graduate,2,3,7,92069,2,1,DevOps,3,5,1,1,1,1,19,11,11,4,4,VP
Yes,15005,Female,Married,Post-Graduate,3,3,14,52991,2,-2,HR,3,1,0,3,3,4,17,3,5,4,5,Senior Developer
Yes,15006,Female,Married,Post-Graduate,1,5,10,48644,2,-1,Public Relations,3,3,3,3,1,2,8,6,8,1,4,Product Manager
Yes,15007,Male,Married,Doctorate,4,4,9,54403,2,-2,Sales,2,2,4,1,5,1,16,7,10,3,1,Product Manager
Yes,15008,Male,Married,Post-Graduate,1,3,6,84252,3,-1,Consultancy,3,4,0,4,5,2,20,7,11,4,4,Product Owner
Yes,15009,Male,Married,Doctorate,4,3,18,61531,2,0,Training,2,3,3,2,5,2,16,5,5,3,2,Senior Developer
Yes,15010,Male,Single,Post-Graduate,4,5,12,59246,2,-1,Development,2,4,5,3,4,1,18,3,9,2,2,Product Manager
Yes,15011,Male,Married,Graduate,1,5,6,83768,3,0,Training,3,5,4,5,4,2,17,11,14,4,3,VP
Yes,15012,Male,Married,Post-Graduate,4,3,12,52570,2,0,Consultancy,2,0,0,5,3,4,19,4,6,4,2,Senior Developer
Yes,15013,Male,Married,Graduate,1,5,6,83269,2,-1,Sales,3,3,5,4,2,2,12,4,9,4,2,Product Owner
Yes,15014,Female,Married,Graduate,3,5,13,52571,2,-2,Development,3,2,1,2,3,3,19,3,5,1,2,Senior Developer
Yes,15015,Female,Married,Graduate,2,4,9,75086,2,-1,Testing,3,7,5,5,5,3,15,5,9,4,5,Product Owner
Yes,15016,Male,Married,Post-Graduate,4,4,8,60774,2,-2,Product Management,3,4,1,5,2,4,19,6,10,2,2,Product Manager
Yes,15017,Male,Married,Graduate,4,3,9,56842,2,1,People Management,3,7,2,1,5,4,9,5,8,4,1,Product Manager
Yes,15018,Male,Married,Graduate,4,3,11,64880,2,-2,People Management,2,3,0,5,3,4,10,6,9,4,4,Product Manager
Yes,15019,Male,Married,Graduate,4,5,9,84126,3,-2,Sales,3,5,4,2,4,2,19,6,10,3,3,Product Owner
Yes,15020,Female,Married,Graduate,2,5,9,75734,3,-2,Sales,3,5,4,3,5,1,16,3,10,3,4,VP
Yes,15021,Male,Married,Post-Graduate,2,4,6,78101,2,0,Sales,3,5,3,1,4,4,12,5,10,4,5,Product Owner
Yes,15022,Male,Married,Post-Graduate,2,3,13,54815,2,1,Training,2,0,0,3,2,2,20,4,5,4,4,Senior Developer
Yes,15023,Female,Married,Graduate,2,5,6,78498,3,0,Development,3,4,6,4,3,4,15,5,10,4,3,VP
Yes,15024,Male,Married,Post-Graduate,2,4,10,64567,2,0,DevOps,2,4,5,4,5,1,10,6,9,1,4,Product Manager
Yes,15025,Female,Single,Graduate,3,4,7,82713,3,-1,DevOps,3,7,2,3,3,1,15,7,11,2,2,Product Owner
Yes,15026,Male,Married,Post-Graduate,1,4,9,64969,2,1,Public Relations,3,6,4,4,2,1,8,4,8,1,2,Product Manager
Yes,15027,Female,Married,Doctorate,3,3,16,62051,2,1,Consultancy,2,0,1,1,4,4,17,4,5,4,1,Senior Developer
Yes,15028,Female,Married,Post-Graduate,4,5,16,52994,2,0,Product Management,3,1,0,3,5,2,15,5,7,4,2,Senior Developer
Yes,15029,Male,Married,Graduate,2,5,14,51058,2,0,Training,3,0,0,4,4,4,8,3,6,1,5,Senior Developer
Yes,15030,Male,Single,Post-Graduate,3,4,8,80900,2,0,People Management,3,9,2,4,2,3,18,6,10,4,2,VP
Yes,15031,Male,Single,Graduate,3,3,6,76922,3,0,Sales,3,5,2,1,3,4,19,6,11,3,4,Product Owner
Yes,15032,Male,Married,Post-Graduate,1,5,11,48143,2,-2,Public Relations,3,6,3,3,4,2,18,7,10,4,1,Product Manager
Yes,15033,Female,Married,Post-Graduate,1,5,12,46501,2,-2,Testing,3,2,2,2,4,4,11,3,6,4,2,Senior Developer
Yes,15034,Male,Married,Doctorate,3,3,7,88250,2,-1,Sales,3,4,1,4,1,1,20,6,12,2,3,VP
Yes,15035,Male,Married,Post-Graduate,3,4,17,49061,2,-1,People Management,2,2,1,1,1,2,17,5,6,3,3,Senior Developer
Yes,15036,Male,Married,Post-Graduate,1,3,12,63444,2,1,Sales,3,6,4,4,4,2,10,7,8,2,5,Product Manager
Yes,15037,Male,Single,Graduate,3,4,13,53859,2,-1,Training,2,0,2,4,3,1,18,5,5,2,3,Senior Developer
Yes,15038,Male,Married,Post-Graduate,2,3,7,83506,2,-1,DevOps,3,8,5,4,1,2,18,3,11,4,2,VP
Yes,15039,Male,Married,Graduate,3,4,9,85294,2,-2,DevOps,3,8,6,5,3,2,18,3,13,2,4,VP
Yes,15040,Female,Married,Graduate,4,3,6,92864,3,0,HR,3,3,5,2,2,1,17,4,9,2,3,Product Owner
Yes,15041,Male,Divorced,Graduate,2,3,7,79049,3,-2,Sales,3,7,4,3,2,4,16,8,13,3,4,VP
Yes,15042,Male,Single,Post-Graduate,2,4,12,59770,2,0,Sales,3,3,3,4,3,2,9,4,6,4,5,Senior Developer
Yes,15043,Male,Married,Graduate,2,3,7,87179,2,0,Development,3,9,1,1,4,1,20,10,10,2,4,VP
Yes,15044,Male,Married,Post-Graduate,4,5,8,77744,2,-1,Consultancy,3,4,3,5,4,2,18,7,10,3,5,Product Owner
Yes,15045,Female,Married,Post-Graduate,3,3,8,90030,2,-1,Consultancy,3,4,2,2,3,1,18,4,9,3,4,Product Owner
Yes,15046,Male,Married,Post-Graduate,1,5,9,85504,3,0,Testing,3,6,3,3,2,4,15,8,13,3,4,VP
Yes,15047,Female,Married,Post-Graduate,3,5,8,79672,2,1,Sales,3,6,2,4,5,3,18,9,13,3,4,VP
Yes,15048,Female,Married,Graduate,4,4,12,54227,2,-1,Public Relations,3,2,0,5,1,4,12,4,8,2,5,Product Manager
Yes,15049,Male,Married,Graduate,2,5,11,45568,2,0,Product Management,3,4,3,2,2,2,13,3,9,1,5,Product Manager
Yes,15050,Male,Married,Graduate,2,3,6,86208,3,0,Public Relations,3,5,4,4,1,1,19,10,11,2,1,VP
Yes,15051,Male,Married,Post-Graduate,4,3,14,63046,2,1,Training,3,0,2,5,1,3,8,4,5,3,4,Senior Developer
Yes,15052,Female,Single,Post-Graduate,3,3,14,55462,2,-1,People Management,3,3,1,3,3,1,11,3,8,4,3,Senior Developer
Yes,15053,Male,Married,Post-Graduate,2,3,8,82107,3,0,Training,3,6,4,1,4,4,19,7,10,2,1,Product Owner
Yes,15054,Male,Single,Post-Graduate,2,3,9,45161,2,-2,Product Management,2,3,2,4,1,1,13,3,10,1,2,Product Manager
Yes,15055,Male,Single,Post-Graduate,3,3,9,75092,3,0,Product Management,3,7,0,3,1,2,20,7,10,2,1,Product Owner
Yes,15056,Female,Married,Post-Graduate,1,4,6,83406,3,-2,Sales,3,7,0,1,4,2,17,6,11,4,5,VP
Yes,15057,Male,Married,Graduate,1,5,7,82803,3,0,DevOps,3,9,5,3,1,3,15,10,14,3,2,VP
Yes,15058,Female,Married,Post-Graduate,2,3,9,56022,2,0,Product Management,2,2,3,2,3,2,16,3,10,1,1,Product Manager
Yes,15059,Male,Married,Graduate,2,4,11,51595,2,0,DevOps,3,7,0,4,1,2,19,3,9,2,4,Product Manager
Yes,15060,Male,Married,Post-Graduate,2,5,9,85549,3,-1,Sales,3,7,0,2,5,4,16,6,11,2,5,Product Owner
Yes,15061,Female,Married,Graduate,4,3,9,87560,2,1,Consultancy,3,2,2,3,4,4,20,6,9,4,4,Product Owner
Yes,15062,Male,Married,Post-Graduate,4,5,13,45073,2,-2,Training,3,2,2,2,1,4,10,5,8,2,1,Senior Developer
Yes,15063,Male,Married,Post-Graduate,2,3,16,58336,2,-1,Consultancy,2,0,3,1,3,1,16,3,7,3,4,Senior Developer
Yes,15064,Female,Married,Graduate,4,4,10,54723,2,0,People Management,3,3,3,5,4,2,8,4,8,1,2,Product Manager
Yes,15065,Male,Married,Graduate,2,4,8,84552,3,-1,DevOps,3,3,1,4,5,4,18,6,10,2,5,VP
Yes,15066,Male,Married,Graduate,3,4,8,78243,3,-2,Consultancy,3,8,2,1,3,1,16,7,11,2,2,VP
Yes,15067,Male,Divorced,Graduate,2,3,8,89660,3,1,Sales,3,9,1,5,3,1,20,4,11,4,5,VP
Yes,15068,Male,Married,Post-Graduate,4,4,6,90912,2,1,Sales,3,4,3,2,3,2,19,4,10,3,2,Product Owner
Yes,15069,Male,Single,Graduate,3,3,9,94514,3,-2,Product Management,3,7,5,5,3,1,16,6,12,3,3,VP
Yes,15070,Male,Married,Graduate,4,4,6,75518,2,-1,Testing,3,9,6,2,3,4,19,3,13,2,5,VP
Yes,15071,Male,Married,Post-Graduate,1,5,9,79823,3,1,Consultancy,3,2,4,2,2,1,16,4,11,4,2,Product Owner
Yes,15072,Male,Married,Post-Graduate,1,3,6,81857,3,-1,DevOps,3,3,0,5,3,2,14,3,10,3,5,Product Owner
Yes,15073,Male,Single,Graduate,3,3,7,89964,2,0,Sales,3,6,5,4,4,2,14,8,11,4,4,Product Owner
Yes,15074,Male,Married,Post-Graduate,1,3,9,45107,2,0,HR,3,4,1,2,3,2,15,5,9,3,5,Product Manager
Yes,15075,Male,Married,Post-Graduate,3,3,6,94374,2,-2,Testing,3,5,4,1,4,3,18,8,11,4,5,Product Owner
Yes,15076,Female,Married,Post-Graduate,4,3,17,50880,2,1,Training,3,3,0,4,3,3,10,5,7,3,2,Senior Developer
Yes,15077,Female,Married,Doctorate,3,4,9,53704,2,0,Training,2,3,4,5,1,2,16,6,8,2,2,Product Manager
Yes,15078,Female,Single,Post-Graduate,1,5,6,77157,3,0,DevOps,3,4,1,1,2,4,18,9,10,3,1,VP
Yes,15079,Male,Married,Graduate,2,4,8,92760,2,-1,DevOps,3,9,3,2,4,2,16,3,11,2,1,VP
Yes,15080,Female,Married,Graduate,3,4,11,45129,2,-1,Consultancy,3,3,2,2,5,2,9,5,8,4,5,Product Manager
Yes,15081,Female,Married,Graduate,3,4,8,93644,3,-2,People Management,3,4,5,4,4,4,20,10,13,3,2,VP
Yes,15082,Female,Married,Graduate,4,5,17,59799,2,1,Public Relations,2,3,0,5,5,1,10,3,7,2,2,Senior Developer
Yes,15083,Female,Married,Graduate,4,3,8,93512,3,-2,Public Relations,3,3,1,3,4,3,17,6,9,2,1,Product Owner
Yes,15084,Male,Married,Post-Graduate,2,3,18,64786,2,0,Product Management,2,1,0,2,4,2,13,3,5,3,2,Senior Developer
Yes,15085,Female,Married,Doctorate,3,3,9,79527,3,-1,DevOps,3,2,5,2,5,4,8,3,8,1,5,Product Owner
Yes,15086,Female,Married,Graduate,2,4,15,51805,2,-1,Sales,3,0,3,1,5,4,19,3,7,1,3,Senior Developer
Yes,15087,Male,Married,Post-Graduate,3,3,9,63942,2,-1,DevOps,3,7,5,3,4,4,8,6,8,1,1,Product Manager
Yes,15088,Female,Single,Post-Graduate,2,4,12,49484,2,-2,Development,3,5,0,4,4,4,12,4,10,1,5,Product Manager
Yes,15089,Male,Married,Doctorate,3,5,6,85373,2,0,Development,3,9,2,4,5,4,17,5,10,4,5,VP
Yes,15090,Female,Married,Graduate,4,5,10,52992,2,1,Sales,3,2,4,4,4,1,14,4,8,3,5,Product Manager
Yes,15091,Female,Married,Graduate,3,3,17,57956,2,-1,Consultancy,3,3,3,4,2,4,17,3,8,4,2,Senior Developer
Yes,15092,Female,Single,Graduate,4,4,7,83551,2,-2,DevOps,3,6,1,4,4,3,19,10,14,2,2,VP
Yes,15093,Male,Single,Post-Graduate,2,3,6,94224,2,0,Consultancy,3,9,1,2,3,4,17,10,14,4,5,VP
Yes,15094,Male,Married,Graduate,4,3,11,54352,2,-1,Product Management,3,3,4,1,4,2,14,6,10,4,1,Product Manager
Yes,15095,Female,Married,Post-Graduate,3,3,12,49220,2,-2,Testing,3,3,2,3,3,3,14,5,10,2,5,Product Manager
Yes,15096,Male,Married,Doctorate,2,3,16,58016,2,-2,People Management,3,3,0,1,2,2,12,4,7,2,1,Senior Developer
Yes,15097,Male,Single,Graduate,3,4,15,61688,2,-1,Public Relations,3,2,1,4,4,2,17,3,8,4,4,Senior Developer
Yes,15098,Male,Married,Graduate,3,5,13,56862,2,-2,Testing,2,3,0,1,3,2,16,5,7,3,4,Senior Developer
Yes,15099,Male,Married,Graduate,2,3,8,87350,2,0,Development,3,7,3,2,4,1,17,3,11,4,3,Product Owner
Yes,15100,Male,Married,Post-Graduate,3,4,12,59215,2,0,HR,2,2,3,3,4,3,10,4,7,4,5,Senior Developer
Yes,15101,Male,Married,Graduate,1,5,18,56716,2,-2,Testing,2,2,2,4,1,4,20,5,8,4,3,Senior Developer
Yes,15102,Male,Married,Doctorate,4,5,6,88800,2,-1,HR,3,4,3,1,2,4,13,7,10,3,2,Product Owner
Yes,15103,Male,Married,Graduate,1,3,7,78204,3,1,HR,3,7,0,5,3,4,18,3,12,3,2,VP
Yes,15104,Male,Single,Graduate,4,5,6,88383,3,-2,Public Relations,3,6,5,4,5,2,15,6,13,3,2,VP
Yes,15105,Male,Married,Post-Graduate,2,4,8,89288,2,0,Consultancy,3,7,5,5,5,4,18,7,11,2,5,VP
Yes,15106,Male,Married,Post-Graduate,4,3,9,79369,2,1,Development,3,6,5,5,3,1,15,3,11,4,2,VP
Yes,15107,Female,Married,Post-Graduate,1,4,12,58177,2,0,Consultancy,3,3,1,5,3,1,9,3,8,2,5,Senior Developer
Yes,15108,Male,Single,Post-Graduate,1,4,6,87321,2,0,Development,3,8,6,5,3,2,17,6,11,4,4,VP
Yes,15109,Male,Single,Graduate,1,4,9,75313,3,-2,Testing,3,6,6,5,5,1,19,11,13,2,1,VP
Yes,15110,Male,Single,Post-Graduate,1,5,11,45780,2,0,Training,3,7,0,3,5,1,18,6,8,1,5,Product Manager
Yes,15111,Male,Married,Doctorate,1,4,16,49528,2,-2,Consultancy,3,1,1,3,5,4,13,4,6,2,4,Senior Developer
Yes,15112,Male,Married,Graduate,4,5,9,84972,2,1,Product Management,3,5,5,5,3,3,15,9,14,3,5,VP
Yes,15113,Female,Married,Post-Graduate,2,5,15,55243,2,0,DevOps,2,3,3,4,1,2,17,5,5,4,2,Senior Developer
Yes,15114,Male,Married,Post-Graduate,3,4,8,86487,3,0,Development,3,3,0,1,3,1,18,6,10,3,3,Product Owner
Yes,15115,Male,Married,Graduate,2,3,12,52272,2,-2,Product Management,3,7,1,1,3,2,13,5,9,2,2,Product Manager
Yes,15116,Female,Married,Post-Graduate,4,3,7,94568,3,0,Testing,3,2,1,4,1,1,11,8,10,4,3,Product Owner
Yes,15117,Female,Married,Post-Graduate,2,4,6,79653,3,-1,Testing,3,2,3,5,4,2,10,5,9,2,4,Product Owner
Yes,15118,Male,Married,Graduate,4,3,8,45124,2,0,Development,2,2,2,3,4,4,20,4,8,1,5,Product Manager
Yes,15119,Female,Married,Graduate,4,3,10,63602,2,-2,People Management,3,3,4,2,5,1,15,7,9,1,3,Product Manager
Yes,15120,Male,Married,Post-Graduate,1,3,8,82446,3,-1,Product Management,3,3,5,2,3,1,16,3,11,3,2,VP
Yes,15121,Male,Married,Graduate,3,4,6,89946,3,0,Consultancy,3,5,1,3,4,4,20,4,14,2,5,VP
Yes,15122,Female,Married,Post-Graduate,1,3,8,87254,2,-1,Consultancy,3,5,5,3,5,1,12,3,11,3,4,Product Owner
Yes,15123,Male,Married,Graduate,4,3,10,56772,2,-2,Public Relations,3,5,2,2,4,4,20,7,8,2,4,Product Manager
Yes,15124,Male,Single,Graduate,2,4,9,93196,3,-2,DevOps,3,5,1,1,5,1,9,8,9,1,4,Product Owner
Yes,15125,Male,Married,Doctorate,4,3,7,76098,2,-1,Product Management,3,2,3,5,5,1,14,8,11,2,4,Product Owner
Yes,15126,Male,Divorced,Graduate,1,5,8,45480,2,-2,Testing,3,7,3,1,2,3,17,7,10,1,4,Product Manager
Yes,15127,Female,Single,Post-Graduate,3,3,13,48003,2,-2,Public Relations,3,3,0,2,3,2,8,4,7,2,4,Senior Developer
Yes,15128,Male,Single,Post-Graduate,3,4,8,54190,2,0,Consultancy,3,2,4,4,4,4,11,6,9,4,5,Product Manager
Yes,15129,Male,Married,Post-Graduate,3,4,10,55594,2,-1,Testing,3,4,0,3,2,1,19,7,8,2,4,Product Manager
Yes,15130,Female,Married,Graduate,4,3,17,53048,2,1,Development,3,0,2,3,1,1,16,5,5,3,2,Senior Developer
Yes,15131,Female,Married,Graduate,1,3,9,85658,2,1,Development,3,6,0,5,4,1,17,11,12,3,4,VP
Yes,15132,Male,Divorced,Graduate,4,3,10,49586,2,-2,Testing,2,4,1,2,3,4,8,4,8,1,1,Product Manager
Yes,15133,Male,Married,Graduate,4,3,6,93459,2,0,Testing,3,4,1,2,4,2,18,6,10,2,1,Product Owner
Yes,15134,Male,Single,Graduate,3,3,7,75830,2,-2,Sales,3,5,2,3,1,3,13,3,10,2,2,Product Owner
Yes,15135,Female,Married,Graduate,4,3,9,80861,3,-1,Testing,3,5,5,3,3,4,20,11,12,2,1,VP
Yes,15136,Female,Single,Graduate,1,4,6,78414,2,-1,Sales,3,5,6,1,4,2,16,4,12,4,3,VP
Yes,15137,Male,Married,Graduate,2,4,9,83580,2,-2,Training,3,9,2,4,3,1,18,9,12,3,3,VP
Yes,15138,Female,Married,Doctorate,1,4,7,83797,3,-2,Sales,3,7,0,2,3,1,11,3,9,3,5,Product Owner
Yes,15139,Female,Married,Graduate,4,3,9,81660,3,-1,Development,3,4,4,3,4,1,16,7,14,3,5,VP
Yes,15140,Female,Divorced,Post-Graduate,3,5,8,87032,3,0,Training,3,3,2,5,4,4,16,5,10,2,2,Product Owner
Yes,15141,Male,Single,Graduate,3,3,6,92736,2,-1,DevOps,3,6,4,4,4,2,10,7,9,2,3,Product Owner
Yes,15142,Male,Married,Post-Graduate,1,3,8,45827,2,0,Sales,2,6,5,5,1,3,12,7,10,4,4,Product Manager
Yes,15143,Male,Married,Doctorate,4,4,7,86220,2,1,DevOps,3,5,3,5,5,3,13,3,9,3,4,Product Owner
Yes,15144,Female,Married,Post-Graduate,3,3,8,58560,2,0,Public Relations,3,5,4,1,3,2,14,5,10,2,5,Product Manager
Yes,15145,Male,Single,Post-Graduate,1,3,16,60335,2,0,DevOps,3,1,1,1,4,4,11,5,7,1,2,Senior Developer
Yes,15146,Male,Married,Post-Graduate,3,5,16,47898,2,0,Development,3,1,3,3,1,1,12,3,5,2,3,Senior Developer
Yes,15147,Female,Married,Doctorate,2,3,12,56413,2,0,Training,2,5,5,4,2,1,12,5,10,1,2,Product Manager
